date	phot_tot	phos_storm	solids_tot	solids_storm
1/2/1992	6.41	6.41	0.14	0.14
1/3/1992	6.55	6.41	0.14	0.14
1/4/1992	6.73	6.41	0.14	0.14
1/5/1992	6.73	6.73	0.14	0.14
1/6/1992	6.73	6.73	0.14	0.14
1/7/1992	6.73	6.73	0.14	0.14
1/8/1992	60	24.46	3.2	0.55
1/9/1992	79	24.46	4.8	0.55
1/10/1992	24.46	24.46	0.55	0.55
1/11/1992	22.29	22.29	0.53	0.53
1/12/1992	69	22.29	4	0.53
1/13/1992	59	22.29	2.9	0.53
1/14/1992	24.62	18.47	0.66	0.47
1/15/1992	22.16	18.47	0.58	0.47
1/16/1992	18.47	18.47	0.47	0.47
1/17/1992	17.65	16.42	0.44	0.39
1/18/1992	16.83	16.42	0.41	0.39
1/19/1992	16.42	16.42	0.39	0.39
1/20/1992	16.42	16.42	0.38	0.38
1/21/1992	18.47	16.42	0.42	0.38
1/22/1992	130.25	16.42	17.79	0.38
1/23/1992	294.78	28.73	31.84	0.64
1/24/1992	98.37	28.73	4.03	0.64
1/25/1992	28.73	28.73	0.64	0.64
1/26/1992	18.47	16.42	0.41	0.36
1/27/1992	17.65	16.42	0.39	0.36
1/28/1992	16.42	16.42	0.36	0.36
1/29/1992	15.6	15.6	0.34	0.34
1/30/1992	15.6	15.6	0.34	0.34
1/31/1992	16.42	15.6	0.36	0.34
2/1/1992	26.27	26.27	0.58	0.58
2/2/1992	49.25	26.27	1.09	0.58
2/3/1992	211.36	26.27	30.16	0.58
2/4/1992	95.96	20.74	10.8	0.79
2/5/1992	29.32	20.74	1.72	0.79
2/6/1992	20.74	20.74	0.79	0.79
2/7/1992	16.09	11.37	0.4	0.15
2/8/1992	13.02	11.37	0.21	0.15
2/9/1992	11.37	11.37	0.15	0.15
2/10/1992	10.79	10.21	0.14	0.14
2/11/1992	10.5	10.21	0.14	0.14
2/12/1992	10.21	10.21	0.14	0.14
2/13/1992	9.91	9.62	0.14	0.14
2/14/1992	9.62	9.62	0.14	0.14
2/15/1992	9.91	9.62	0.15	0.14
2/16/1992	9.84	9.84	0.15	0.15
2/17/1992	11	9.84	0.16	0.15
2/18/1992	29	9.84	0.78	0.15
2/19/1992	36	36	1.1	1.1
2/20/1992	1374.45	36	341.32	1.1
2/21/1992	302.37	36	16.35	1.1
2/22/1992	562.29	562.29	88.46	63.57
2/23/1992	575.79	562.29	63.57	63.57
2/24/1992	624	562.29	86	63.57
2/25/1992	124	17.9	7.2	0.25
2/26/1992	19.52	17.9	0.26	0.25
2/27/1992	17.9	17.9	0.25	0.25
2/28/1992	15.7	11.14	0.23	0.18
2/29/1992	12.24	11.14	0.19	0.18
3/1/1992	11.14	11.14	0.18	0.18
3/2/1992	10.9	9.29	0.18	0.17
3/3/1992	9.89	9.29	0.17	0.17
3/4/1992	9.29	9.29	0.17	0.17
3/5/1992	8.76	8.14	0.16	0.16
3/6/1992	8.57	8.14	0.17	0.16
3/7/1992	8.14	8.14	0.17	0.16
3/8/1992	7.52	6.29	0.16	0.15
3/9/1992	38	6.29	1.2	0.15
3/10/1992	6.29	6.29	0.15	0.15
3/11/1992	5.67	4.58	0.14	0.12
3/12/1992	5.1	4.58	0.13	0.12
3/13/1992	4.58	4.58	0.12	0.12
3/14/1992	4.3	3.36	0.12	0.1
3/15/1992	3.75	3.36	0.11	0.1
3/16/1992	3.36	3.36	0.1	0.1
3/17/1992	3.15	2.87	0.1	0.09
3/18/1992	3.04	2.87	0.09	0.09
3/19/1992	2.87	2.87	0.09	0.09
3/20/1992	2.7	2.61	0.08	0.08
3/21/1992	2.61	2.61	0.08	0.08
3/22/1992	2.94	2.61	0.08	0.08
3/23/1992	2.95	2.42	0.08	0.07
3/24/1992	2.78	2.42	0.08	0.07
3/25/1992	2.42	2.42	0.07	0.07
3/26/1992	2.2	1.94	0.06	0.05
3/27/1992	2.06	1.94	0.05	0.05
3/28/1992	1.94	1.94	0.05	0.05
3/29/1992	2.09	1.93	0.05	0.05
3/30/1992	2.07	1.93	0.05	0.05
3/31/1992	1.93	1.93	0.05	0.05
4/1/1992	1.79	1.51	0.04	0.04
4/2/1992	1.63	1.51	0.04	0.04
4/3/1992	1.51	1.51	0.04	0.04
4/4/1992	1.53	1.3	0.04	0.03
4/5/1992	1.4	1.3	0.03	0.03
4/6/1992	1.3	1.3	0.03	0.03
4/7/1992	1.34	1.27	0.03	0.03
4/8/1992	1.27	1.27	0.03	0.03
4/9/1992	1.43	1.27	0.03	0.03
4/10/1992	1.38	1.14	0.03	0.02
4/11/1992	1.32	1.14	0.03	0.02
4/12/1992	1.14	1.14	0.02	0.02
4/13/1992	1.07	1.07	0.03	0.03
4/14/1992	1.4	1.07	0.03	0.03
4/15/1992	6.2	1.07	0.16	0.03
4/16/1992	24	3.8	0.8	0.1
4/17/1992	5	3.8	0.13	0.1
4/18/1992	3.8	3.8	0.1	0.1
4/19/1992	19	19	0.6	0.6
4/20/1992	261.28	19	12.99	0.6
4/21/1992	114.08	19	5.53	0.6
4/22/1992	21.01	11.94	0.68	0.36
4/23/1992	12.55	11.94	0.37	0.36
4/24/1992	11.94	11.94	0.36	0.36
4/25/1992	10.93	9.67	0.34	0.32
4/26/1992	10.33	9.67	0.33	0.32
4/27/1992	9.67	9.67	0.32	0.32
4/28/1992	9	8.46	0.3	0.3
4/29/1992	8.9	8.46	0.31	0.3
4/30/1992	8.46	8.46	0.3	0.3
5/1/1992	7.74	6.03	0.25	0.17
5/2/1992	7.02	6.03	0.21	0.17
5/3/1992	6.03	6.03	0.17	0.17
5/4/1992	5.62	5.04	0.14	0.11
5/5/1992	5.42	5.04	0.13	0.11
5/6/1992	5.04	5.04	0.11	0.11
5/7/1992	4.58	4.06	0.09	0.07
5/8/1992	4.36	4.06	0.08	0.07
5/9/1992	4.06	4.06	0.07	0.07
5/10/1992	3.89	3.76	0.06	0.05
5/11/1992	3.85	3.76	0.05	0.05
5/12/1992	3.76	3.76	0.05	0.05
5/13/1992	3.42	3.12	0.04	0.03
5/14/1992	3.12	3.12	0.03	0.03
5/15/1992	3.17	3.12	0.04	0.03
5/16/1992	2.88	2.88	0.04	0.04
5/17/1992	4.7	2.88	0.06	0.04
5/18/1992	2.97	2.88	0.05	0.04
5/19/1992	2.43	2.16	0.05	0.05
5/20/1992	2.16	2.16	0.05	0.05
5/21/1992	2.27	2.16	0.06	0.05
5/22/1992	2.35	1.94	0.08	0.08
5/23/1992	2.32	1.94	0.09	0.08
5/24/1992	1.94	1.94	0.08	0.08
5/25/1992	1.84	1.81	0.09	0.09
5/26/1992	1.89	1.81	0.1	0.09
5/27/1992	1.81	1.81	0.1	0.09
5/28/1992	1.69	1.65	0.08	0.07
5/29/1992	1.67	1.65	0.08	0.07
5/30/1992	1.65	1.65	0.07	0.07
5/31/1992	1.59	1.59	0.06	0.06
6/1/1992	1.59	1.59	0.06	0.06
6/2/1992	1.67	1.59	0.06	0.06
6/3/1992	1.75	1.75	0.05	0.05
6/4/1992	1.82	1.75	0.05	0.05
6/5/1992	2.01	1.75	0.05	0.05
6/6/1992	2.17	2.01	0.05	0.04
6/7/1992	2.24	2.01	0.05	0.04
6/8/1992	2.01	2.01	0.04	0.04
6/9/1992	2.12	2.12	0.04	0.04
6/10/1992	2.29	2.12	0.04	0.04
6/11/1992	2.37	2.12	0.04	0.04
6/12/1992	2.31	2.17	0.04	0.03
6/13/1992	2.17	2.17	0.04	0.03
6/14/1992	2.24	2.17	0.03	0.03
6/15/1992	2.19	2.19	0.03	0.03
6/16/1992	4.1	2.19	0.04	0.03
6/17/1992	2.69	2.19	0.04	0.03
6/18/1992	2.6	2.6	0.03	0.03
6/19/1992	2.61	2.6	0.03	0.03
6/20/1992	2.92	2.6	0.04	0.03
6/21/1992	2.95	2.95	0.03	0.03
6/22/1992	2.99	2.95	0.03	0.03
6/23/1992	3.39	2.95	0.04	0.03
6/24/1992	3.97	3.77	0.05	0.04
6/25/1992	3.93	3.77	0.05	0.04
6/26/1992	3.77	3.77	0.04	0.04
6/27/1992	3.76	3.76	0.04	0.04
6/28/1992	3.77	3.76	0.04	0.04
6/29/1992	4.02	3.76	0.05	0.04
6/30/1992	3.99	3.99	0.05	0.05
7/1/1992	4.1	3.99	0.05	0.05
7/2/1992	6.6	3.99	0.09	0.05
7/3/1992	4.7	4.15	0.06	0.05
7/4/1992	4.29	4.15	0.05	0.05
7/5/1992	4.15	4.15	0.05	0.05
7/6/1992	4.11	4.11	0.05	0.05
7/7/1992	7.07	4.11	0.12	0.05
7/8/1992	8.41	4.11	0.15	0.05
7/9/1992	5.72	4.3	0.06	0.05
7/10/1992	5.01	4.3	0.05	0.05
7/11/1992	4.3	4.3	0.05	0.05
7/12/1992	10.27	10.27	0.21	0.21
7/13/1992	19.09	10.27	0.56	0.21
7/14/1992	15.35	10.27	0.25	0.21
7/15/1992	8.76	6.09	0.07	0.04
7/16/1992	6.8	6.09	0.04	0.04
7/17/1992	6.09	6.09	0.04	0.04
7/18/1992	5.41	5.13	0.04	0.04
7/19/1992	5.26	5.13	0.04	0.04
7/20/1992	5.13	5.13	0.04	0.04
7/21/1992	4.63	4.63	0.03	0.03
7/22/1992	5.29	4.63	0.04	0.03
7/23/1992	5.91	4.63	0.04	0.03
7/24/1992	5.58	5.58	0.04	0.04
7/25/1992	6.27	5.58	0.04	0.04
7/26/1992	6.06	5.58	0.04	0.04
7/27/1992	5.24	4.25	0.03	0.03
7/28/1992	4.46	4.25	0.03	0.03
7/29/1992	4.25	4.25	0.03	0.03
7/30/1992	7.42	5.68	0.08	0.05
7/31/1992	9.19	5.68	0.13	0.05
8/1/1992	5.68	5.68	0.05	0.05
8/2/1992	4.46	3.95	0.05	0.05
8/3/1992	4.09	3.95	0.05	0.05
8/4/1992	3.95	3.95	0.06	0.05
8/5/1992	3.57	3.37	0.05	0.05
8/6/1992	3.37	3.37	0.05	0.05
8/7/1992	5.39	3.37	0.09	0.05
8/8/1992	5.4	4.11	0.09	0.08
8/9/1992	4.37	4.11	0.08	0.08
8/10/1992	4.11	4.11	0.08	0.08
8/11/1992	3.22	2.92	0.07	0.07
8/12/1992	3.09	2.92	0.07	0.07
8/13/1992	2.92	2.92	0.07	0.07
8/14/1992	2.67	2.33	0.06	0.06
8/15/1992	2.48	2.33	0.06	0.06
8/16/1992	2.33	2.33	0.06	0.06
8/17/1992	2.22	2.15	0.06	0.06
8/18/1992	2.22	2.15	0.06	0.06
8/19/1992	2.15	2.15	0.06	0.06
8/20/1992	2.06	1.89	0.06	0.05
8/21/1992	1.96	1.89	0.05	0.05
8/22/1992	1.89	1.89	0.05	0.05
8/23/1992	1.9	1.9	0.05	0.05
8/24/1992	1.95	1.9	0.05	0.05
8/25/1992	2.08	1.9	0.05	0.05
8/26/1992	2.33	1.99	0.06	0.05
8/27/1992	2.2	1.99	0.05	0.05
8/28/1992	1.99	1.99	0.05	0.05
8/29/1992	1.9	1.69	0.04	0.04
8/30/1992	1.82	1.69	0.04	0.04
8/31/1992	1.69	1.69	0.04	0.04
9/1/1992	1.7	1.7	0.04	0.04
9/2/1992	1.87	1.7	0.04	0.04
9/3/1992	1.89	1.7	0.04	0.04
9/4/1992	1.76	1.76	0.03	0.03
9/5/1992	1.76	1.76	0.03	0.03
9/6/1992	5.7	1.76	0.07	0.03
9/7/1992	4.9	4.9	0.05	0.05
9/8/1992	7.5	4.9	0.12	0.05
9/9/1992	9.5	4.9	0.18	0.05
9/10/1992	6	4.04	0.08	0.04
9/11/1992	5.44	4.04	0.06	0.04
9/12/1992	4.04	4.04	0.04	0.04
9/13/1992	3.77	3.77	0.04	0.04
9/14/1992	4.5	3.77	0.05	0.04
9/15/1992	6.19	3.77	0.07	0.04
9/16/1992	5.84	5.11	0.07	0.06
9/17/1992	5.11	5.11	0.06	0.06
9/18/1992	7.11	5.11	0.09	0.06
9/19/1992	5.49	4.14	0.07	0.06
9/20/1992	4.74	4.14	0.06	0.06
9/21/1992	4.14	4.14	0.08	0.06
9/22/1992	2.55	0.87	0.07	0.06
9/23/1992	1.45	0.87	0.06	0.06
9/24/1992	0.87	0.87	0.06	0.06
9/25/1992	0.56	0.4	0.05	0.05
9/26/1992	0.42	0.4	0.06	0.05
9/27/1992	0.4	0.4	0.08	0.05
9/28/1992	0.35	0.25	0.07	0.04
9/29/1992	0.26	0.25	0.05	0.04
9/30/1992	0.25	0.25	0.04	0.04
10/1/1992	1.91	1.91	0.05	0.05
10/2/1992	1.93	1.91	0.05	0.05
10/3/1992	2.01	1.91	0.05	0.05
10/4/1992	1.95	1.75	0.05	0.04
10/5/1992	1.83	1.75	0.05	0.04
10/6/1992	1.75	1.75	0.04	0.04
10/7/1992	1.7	1.7	0.04	0.04
10/8/1992	1.93	1.7	0.05	0.04
10/9/1992	1.96	1.7	0.05	0.04
10/10/1992	1.86	1.44	0.05	0.04
10/11/1992	1.57	1.44	0.04	0.04
10/12/1992	1.44	1.44	0.04	0.04
10/13/1992	1.41	1.41	0.04	0.04
10/14/1992	1.44	1.41	0.04	0.04
10/15/1992	1.56	1.41	0.04	0.04
10/16/1992	1.68	1.55	0.05	0.05
10/17/1992	1.63	1.55	0.05	0.05
10/18/1992	1.55	1.55	0.05	0.05
10/19/1992	1.48	1.48	0.05	0.05
10/20/1992	1.78	1.48	0.06	0.05
10/21/1992	1.84	1.48	0.06	0.05
10/22/1992	1.82	1.81	0.06	0.06
10/23/1992	1.81	1.81	0.07	0.06
10/24/1992	1.83	1.81	0.07	0.06
10/25/1992	1.86	1.75	0.08	0.08
10/26/1992	1.81	1.75	0.08	0.08
10/27/1992	1.75	1.75	0.08	0.08
10/28/1992	1.75	1.75	0.08	0.08
10/29/1992	1.79	1.75	0.09	0.08
10/30/1992	1.83	1.75	0.09	0.08
10/31/1992	1.89	1.89	0.1	0.1
11/1/1992	3.2	1.89	0.18	0.1
11/2/1992	21.26	1.89	0.89	0.1
11/3/1992	13.76	3.1	0.81	0.23
11/4/1992	3.92	3.1	0.28	0.23
11/5/1992	3.1	3.1	0.23	0.23
11/6/1992	2.81	2.27	0.21	0.18
11/7/1992	2.46	2.27	0.19	0.18
11/8/1992	2.27	2.27	0.18	0.18
11/9/1992	2.12	1.96	0.17	0.16
11/10/1992	2.04	1.96	0.17	0.16
11/11/1992	1.96	1.96	0.16	0.16
11/12/1992	1.88	1.75	0.16	0.16
11/13/1992	1.8	1.75	0.16	0.16
11/14/1992	1.75	1.75	0.16	0.16
11/15/1992	1.55	1.41	0.14	0.14
11/16/1992	1.46	1.41	0.14	0.14
11/17/1992	1.41	1.41	0.14	0.14
11/18/1992	1.35	1.35	0.14	0.14
11/19/1992	1.86	1.35	0.17	0.14
11/20/1992	96.05	1.35	5.72	0.14
11/21/1992	200.3	35.89	13.22	1
11/22/1992	35.89	35.89	1.34	1
11/23/1992	39.47	35.89	1	1
11/24/1992	30.51	24.54	0.75	0.62
11/25/1992	26.16	24.54	0.65	0.62
11/26/1992	24.54	24.54	0.62	0.62
11/27/1992	22.27	16.7	0.57	0.44
11/28/1992	18.83	16.7	0.49	0.44
11/29/1992	16.7	16.7	0.44	0.44
11/30/1992	14.98	12.54	0.4	0.35
12/1/1992	13.36	12.54	0.37	0.35
12/2/1992	12.54	12.54	0.35	0.35
12/3/1992	10.73	7.58	0.3	0.22
12/4/1992	8.64	7.58	0.25	0.22
12/5/1992	7.58	7.58	0.22	0.22
12/6/1992	7.63	6.96	0.23	0.21
12/7/1992	7.89	6.96	0.24	0.21
12/8/1992	6.96	6.96	0.21	0.21
12/9/1992	6.33	5.22	0.2	0.17
12/10/1992	5.75	5.22	0.18	0.17
12/11/1992	5.22	5.22	0.17	0.17
12/12/1992	4.9	4.33	0.16	0.15
12/13/1992	4.61	4.33	0.15	0.15
12/14/1992	4.33	4.33	0.15	0.15
12/15/1992	27.03	25.36	0.79	0.79
12/16/1992	186.88	25.36	6.91	0.79
12/17/1992	25.36	25.36	1.26	0.79
12/18/1992	17.11	12.45	0.81	0.63
12/19/1992	14.92	12.45	0.73	0.63
12/20/1992	12.45	12.45	0.63	0.63
12/21/1992	10.66	8.71	0.56	0.48
12/22/1992	9.24	8.71	0.5	0.48
12/23/1992	8.71	8.71	0.48	0.48
12/24/1992	7.93	7.49	0.45	0.45
12/25/1992	7.71	7.49	0.45	0.45
12/26/1992	7.49	7.49	0.46	0.45
12/27/1992	7.53	7.53	0.47	0.47
12/28/1992	7.79	7.53	0.5	0.47
12/29/1992	7.57	7.53	0.5	0.47
12/30/1992	7.35	6.74	0.51	0.49
12/31/1992	7.15	6.74	0.51	0.49
1/1/1993	6.74	6.74	0.49	0.49
1/2/1993	6.14	6.14	0.46	0.46
1/3/1993	6.36	6.14	0.49	0.46
1/4/1993	6.18	6.14	0.5	0.46
1/5/1993	5.82	5.32	0.48	0.47
1/6/1993	5.48	5.32	0.47	0.47
1/7/1993	5.32	5.32	0.47	0.47
1/8/1993	5.17	4.72	0.47	0.45
1/9/1993	4.86	4.72	0.45	0.45
1/10/1993	4.72	4.72	0.45	0.45
1/11/1993	4.75	4.75	0.47	0.47
1/12/1993	4.92	4.75	0.5	0.47
1/13/1993	4.93	4.75	0.52	0.47
1/14/1993	4.65	4.12	0.51	0.48
1/15/1993	4.38	4.12	0.49	0.48
1/16/1993	4.12	4.12	0.48	0.48
1/17/1993	4	3.53	0.48	0.45
1/18/1993	3.63	3.53	0.45	0.45
1/19/1993	3.53	3.53	0.45	0.45
1/20/1993	4.04	4.04	0.53	0.53
1/21/1993	4.29	4.04	0.58	0.53
1/22/1993	4.63	4.04	0.64	0.53
1/23/1993	4.05	3.53	0.58	0.53
1/24/1993	3.62	3.53	0.53	0.53
1/25/1993	3.53	3.53	0.53	0.53
1/26/1993	3.44	3.44	0.52	0.52
1/27/1993	3.47	3.44	0.54	0.52
1/28/1993	3.5	3.44	0.55	0.52
1/29/1993	3.3	3.3	0.52	0.52
1/30/1993	3.32	3.3	0.53	0.52
1/31/1993	3.47	3.3	0.57	0.52
2/1/1993	4.2	3.29	0.71	0.57
2/2/1993	3.47	3.29	0.59	0.57
2/3/1993	3.29	3.29	0.57	0.57
2/4/1993	3.67	3.67	0.64	0.64
2/5/1993	4.18	3.67	0.74	0.64
2/6/1993	3.76	3.67	0.67	0.64
2/7/1993	3.33	3.25	0.61	0.6
2/8/1993	3.25	3.25	0.6	0.6
2/9/1993	3.29	3.25	0.61	0.6
2/10/1993	3.57	3.4	0.67	0.66
2/11/1993	3.86	3.4	0.74	0.66
2/12/1993	3.4	3.4	0.66	0.66
2/13/1993	3.45	3.45	0.68	0.68
2/14/1993	3.49	3.45	0.69	0.68
2/15/1993	3.52	3.45	0.69	0.68
2/16/1993	3.29	3.19	0.64	0.62
2/17/1993	3.19	3.19	0.62	0.62
2/18/1993	3.35	3.19	0.64	0.62
2/19/1993	3.52	3.52	0.67	0.67
2/20/1993	3.56	3.52	0.67	0.67
2/21/1993	3.59	3.52	0.67	0.67
2/22/1993	3.62	3.52	0.67	0.64
2/23/1993	3.52	3.52	0.64	0.64
2/24/1993	3.55	3.52	0.64	0.64
2/25/1993	3.59	3.59	0.64	0.64
2/26/1993	3.62	3.59	0.64	0.64
2/27/1993	3.66	3.59	0.64	0.64
2/28/1993	3.69	3.69	0.64	0.64
3/1/1993	4.67	3.69	0.79	0.64
3/2/1993	11.65	3.69	1.68	0.64
3/3/1993	44.99	44.99	5.59	5.59
3/4/1993	957.62	44.99	191.87	5.59
3/5/1993	458.9	44.99	97.13	5.59
3/6/1993	490	490	32.55	32.55
3/7/1993	1128.37	490	255.26	32.55
3/8/1993	756.19	490	102.28	32.55
3/9/1993	310	34.42	40	2.49
3/10/1993	79.45	34.42	12	2.49
3/11/1993	34.42	34.42	2.49	2.49
3/12/1993	12.22	7.46	0.93	0.7
3/13/1993	8.73	7.46	0.7	0.7
3/14/1993	7.46	7.46	0.72	0.7
3/15/1993	36.92	36.92	8.36	5.99
3/16/1993	890.95	36.92	292.25	5.99
3/17/1993	92	36.92	5.99	5.99
3/18/1993	63	28.4	4.21	1.88
3/19/1993	28.4	28.4	1.88	1.88
3/20/1993	35.93	28.4	2.19	1.88
3/21/1993	35.93	26.42	2.06	1.31
3/22/1993	28.75	26.42	1.54	1.31
3/23/1993	26.42	26.42	1.31	1.31
3/24/1993	34.96	34.96	1.61	1.61
3/25/1993	2435.77	34.96	893.98	1.61
3/26/1993	1803.3	34.96	563.34	1.61
3/27/1993	1386.46	360	236.01	51
3/28/1993	594.5	360	103.87	51
3/29/1993	360	360	51	51
3/30/1993	4950.55	134.49	2391.99	10.92
3/31/1993	1822.77	134.49	639.41	10.92
4/1/1993	134.49	134.49	10.92	10.92
4/2/1993	82.12	57.94	6.04	3.54
4/3/1993	68.9	57.94	4.62	3.54
4/4/1993	57.94	57.94	3.54	3.54
4/5/1993	51.56	34.53	2.87	1.6
4/6/1993	37.29	34.53	1.9	1.6
4/7/1993	34.53	34.53	1.6	1.6
4/8/1993	103	29.64	7.8	1.04
4/9/1993	43.13	29.64	1.66	1.04
4/10/1993	29.64	29.64	1.04	1.04
4/11/1993	32.65	20.19	1.04	0.54
4/12/1993	24.53	20.19	0.71	0.54
4/13/1993	20.19	20.19	0.54	0.54
4/14/1993	22.51	22.51	0.54	0.54
4/15/1993	114	22.51	9.2	0.54
4/16/1993	126	22.51	11	0.54
4/17/1993	92	23.39	6.7	0.4
4/18/1993	23.39	23.39	0.4	0.4
4/19/1993	30.08	23.39	0.55	0.4
4/20/1993	54.31	19.71	1.08	0.46
4/21/1993	25.64	19.71	0.55	0.46
4/22/1993	19.71	19.71	0.46	0.46
4/23/1993	16.19	12.05	0.41	0.36
4/24/1993	14.32	12.05	0.4	0.36
4/25/1993	12.05	12.05	0.36	0.36
4/26/1993	10	10	0.32	0.32
4/27/1993	11.18	10	0.38	0.32
4/28/1993	12.42	10	0.44	0.32
4/29/1993	10.68	9.19	0.39	0.35
4/30/1993	9.19	9.19	0.35	0.35
5/1/1993	20.43	9.19	5.2	0.35
5/2/1993	353.95	214.19	80.21	14.2
5/3/1993	1266.97	214.19	275.61	14.2
5/4/1993	214.19	214.19	14.2	14.2
5/5/1993	132.73	86.92	8.5	5.29
5/6/1993	86.92	86.92	5.37	5.29
5/7/1993	88.87	86.92	5.29	5.29
5/8/1993	65.26	39.54	3.76	2.12
5/9/1993	47.39	39.54	2.63	2.12
5/10/1993	39.54	39.54	2.12	2.12
5/11/1993	32.74	19.17	1.7	0.93
5/12/1993	23.05	19.17	1.15	0.93
5/13/1993	19.17	19.17	0.93	0.93
5/14/1993	18.59	14.96	0.88	0.67
5/15/1993	17.27	14.96	0.79	0.67
5/16/1993	14.96	14.96	0.67	0.67
5/17/1993	14.02	13.52	0.61	0.55
5/18/1993	15.16	13.52	0.64	0.55
5/19/1993	13.52	13.52	0.55	0.55
5/20/1993	12.46	11.64	0.5	0.45
5/21/1993	11.64	11.64	0.45	0.45
5/22/1993	11.94	11.64	0.45	0.45
5/23/1993	17.87	11.83	0.65	0.41
5/24/1993	17.37	11.83	0.62	0.41
5/25/1993	11.83	11.83	0.41	0.41
5/26/1993	10.47	10.47	0.36	0.36
5/27/1993	12.8	10.47	0.45	0.36
5/28/1993	11.71	10.47	0.41	0.36
5/29/1993	10.65	10.65	0.38	0.38
5/30/1993	16.28	10.65	0.58	0.38
5/31/1993	13.48	10.65	0.49	0.38
6/1/1993	10.28	10.28	0.37	0.37
6/2/1993	13.67	10.28	0.5	0.37
6/3/1993	16.42	10.28	0.6	0.37
6/4/1993	12.44	10.37	0.46	0.39
6/5/1993	11.89	10.37	0.44	0.39
6/6/1993	10.37	10.37	0.39	0.39
6/7/1993	197.13	42.15	33.56	9.11
6/8/1993	151.96	42.15	20.95	9.11
