storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
151,3,10/20/93 18:00,10/21/93 0:05,1,0.328,0.36,0.258,0.204,0.158,0.151,0.316,6.083,0.054,0,0,0.008,64,29,46,0.38,0,0,P,,,1,,10/20/93,10/22/93,10,1993,3.57,8.94,2.98,1.73,3.19,1.06,0.34,0.82,0.27,0.15,0.23,0.08,5.6,16,5.33,0.6,1,0.33,0,0.33
152,4,11/12/93 18:35,11/13/93 8:25,1,0.335,0.276,0.156,0.128,0.116,0.1,0.222,13.833,0.024,0,0.169,0.182,51,26,38,0.49,0,0,P,,,1,,11/12/93,11/15/93,11,1993,4.82,9.99,2.5,4.01,6.11,1.53,0.3,0.83,0.21,0.21,0.25,0.06,5.8,21.6,5.4,0.8,1.6,0.4,0,0.34
153,1,11/25/93 9:40,11/25/93 13:25,1,0.2,1.2,0.6,0.4,0.2,0.1,0.377,3.75,0.053,0,0,0,34,32,33,0.08,0,0,P,,,1,25.00%,11/25/93,11/25/93,11,1993,0.82,0.82,0.82,0.04,0.04,0.04,0.18,0.18,0.18,0.01,0.01,0.01,5.1,5.1,5.1,0.3,0.3,0.15,0,0.2
154,4,,,,,,,,,,,,,,,,34,10,21,0.41,3,U,P,S,M,3,8.56%,11/26/93,11/29/93,11,1993,0.81,3.17,0.79,0.03,0.05,0.01,0.17,0.65,0.16,0.01,0.03,0.01,5,19.5,4.88,0.1,0.3,0.07,NA,NA
155,2,,,,,,,,,,,,,,,,40,27,35,0.02,0,N,P,,M,7,6.99%,12/1/93,12/2/93,12,1993,0.83,1.58,0.79,0.05,0.08,0.04,0.16,0.31,0.16,0.01,0.02,0.01,5.1,9.7,4.85,0.3,0.4,0.2,NA,NA
156,3,,,,,,,,,,,,,,,,37,18,31,0.02,0,N,P,,M,3,9.66%,12/4/93,12/6/93,12,1993,0.81,2.42,0.81,0.09,0.2,0.07,0.15,0.45,0.15,0.02,0.04,0.01,5,14.9,4.97,0.6,1.3,0.43,NA,NA
157,2,,,,,,,,,,,,,,,,46,17,33,0,0,N,,,M,7,5.00%,12/9/93,12/10/93,12,1993,0.77,1.53,0.77,0.04,0.07,0.04,0.14,0.27,0.14,0.01,0.01,0.01,4.8,9.5,4.75,0.3,0.5,0.25,NA,NA
158,4,,,,,,,,,,,,,,,,50,22,39,0.21,0,N,P,,M,3,,12/12/93,12/15/93,12,1993,4.15,9.54,2.39,1.71,3.28,0.82,1.28,2.76,0.69,0.47,0.9,0.23,5.7,20.7,5.18,0.7,2.1,0.53,NA,NA
159,2,,,,,,,,,,,,,,,,38,32,35,0.21,0,N,P,,M,3,,12/17/93,12/18/93,12,1993,2.1,3.87,1.94,0.59,0.85,0.43,0.64,1.12,0.56,0.27,0.38,0.19,5.1,10.2,5.1,0,0,0,NA,NA
160,2,,,,,,,,,,,,,,,,35,15,25,0.03,NA,N,P,,M,3,,12/20/93,12/21/93,12,1993,1.24,2.29,1.15,0.34,0.49,0.25,0.27,0.48,0.24,0.11,0.16,0.08,5,10,5,0,0,0,NA,NA
161,2,,,,,,,,,,,,,,,,22,0,10,0.01,NA,1,P,,M,3,5.00%,12/23/93,12/24/93,12,1993,0.7,1.38,0.69,0.05,0.08,0.04,0.12,0.23,0.12,0.01,0.01,0.01,4.3,8.5,4.25,0.3,0.5,0.25,0.05,0.05
162,3,,,,,,,,,,,,,,,,31,2,14,0.08,2,N,P,S,M,3,10.35%,1/3/94,1/5/94,1,1994,0.74,2.19,0.73,0.04,0.06,0.02,0.13,0.38,0.13,0.01,0.01,0,4.6,13.6,4.53,0.3,0.5,0.17,NA,NA
163,3,,,,,,,,,,,,,,,,28,-19,2,0.1,NA,N,P,,M,3,11.18%,1/12/94,1/14/94,1,1994,0.71,2.03,0.68,0.04,0.07,0.02,0.13,0.37,0.12,0.01,0.03,0.01,4.4,12.6,4.2,0.3,0.5,0.17,NA,NA
164,2,,,,,,,,,,,,,,,,3,-26,-12,0.6,8,N,P,S,M,3,9.96%,1/16/94,1/17/94,1,1994,0.62,1.22,0.61,0.04,0.06,0.03,0.11,0.22,0.11,0,0,0,3.8,7.5,3.75,0.2,0.3,0.15,NA,NA
165,4,,,,,,,,,,,,,,,,40,13,22,0.09,2,N,P,S,M,7,12.62%,1/23/94,1/26/94,1,1994,0.7,2.8,0.7,0.05,0.14,0.03,0.13,0.52,0.13,0.01,0.02,0.01,4.3,17.2,4.3,0.3,0.8,0.2,NA,NA
166,3,,,,,,,,,,,,,,,,25,-12,7,0.07,NA,N,P,,M,3,17.87%,2/9/94,2/11/94,2,1994,0.78,2.23,0.74,0.07,0.1,0.03,0.15,0.43,0.14,0.01,0.01,0,4.8,13.8,4.6,0.4,0.6,0.2,NA,NA
167,3,,,,,,,,,,,,,,,,40,4,21,0.09,NA,N,P,,M,3,19.38%,2/13/94,2/15/94,2,1994,0.85,2.49,0.83,0.05,0.08,0.03,0.17,0.49,0.16,0.01,0.01,0,5.2,15.3,5.1,0.3,0.5,0.17,NA,NA
168,6,,,,,,,,,,,,,,,,55,10,32,0,0,N,,,M,7,18.77%,2/17/94,2/22/94,2,1994,1508.1,1544.61,257.44,1496.43,1504.61,250.77,741.04,748.12,124.69,739.09,741.09,123.52,59,89.7,14.95,51.8,53.3,8.88,NA,NA
169,2,,,,,,,,,,,,,,,,20,8,14,0.73,8,3,P,S,M,3,9.98%,2/24/94,2/25/94,2,1994,1.85,3.46,1.73,0.43,0.62,0.31,0.48,0.92,0.46,0.06,0.08,0.04,4.9,9.7,4.85,0.1,0.1,0.05,0.3,0.3
170,3,,,,,,,,,,,,,,,,29,-6,12,0.03,3,N,P,S,M,3,9.18%,2/26/94,2/28/94,2,1994,1.42,3.87,1.29,0.26,0.39,0.13,0.42,1.21,0.4,0.03,0.05,0.02,5,14.7,4.9,0.1,0.1,0.03,NA,NA
171,4,,,,,,,,,,,,,,,,54,25,40,0.25,0,N,P,,M,3,24.09%,3/3/94,3/6/94,3,1994,343.6,623.84,155.96,342.69,603.8,150.95,158.74,190.15,47.54,158.4,187.43,46.86,21,50.9,12.73,16,28.1,7.03,NA,NA
172,2,,,,,,,,,,,,,,,,39,15,27,0,0,N,P,,M,3,,3/8/94,3/9/94,3,1994,6.01,10.3,5.15,2.91,4.1,2.05,0.89,1.71,0.86,0.12,0.17,0.09,5.8,11.5,5.75,0.3,0.5,0.25,NA,NA
173,5,,,,,,,,,,,,,,,,53,17,37,0,0,Z,,,M,6,,3/11/94,3/15/94,3,1994,4.27,12.42,2.48,2.32,4.62,0.92,1.23,4.23,0.85,0.65,0.94,0.19,6.8,30.5,6.1,1.1,2.3,0.46,NA,NA
174,4,,,,,,,,,,,,,,,,59,30,41,0.09,0,N,P,,M,3,,3/18/94,3/21/94,3,1994,2.4,7.06,1.77,0.43,0.9,0.23,0.68,2.15,0.54,0.19,0.35,0.09,6.5,24.4,6.1,0.3,0.6,0.15,NA,NA
175,8,,,,,,,,,,,,,,,,71,18,39,0,0,Z,,,M,6,,3/23/94,3/30/94,3,1994,1.64,9.33,1.17,0.41,1.04,0.13,0.4,2.41,0.3,0.09,0.23,0.03,6,43.5,5.44,0.7,2.3,0.21,NA,NA
176,2,,,,,,,,,,,,,,,,59,29,43,0,0,Z,,,M,6,,4/2/94,4/3/94,4,1994,0.8,1.58,0.79,0.03,0.04,0.02,0.22,0.44,0.22,0,0,0,4.9,9.7,4.85,0.1,0.1,0.05,NA,NA
177,2,4/4/94 5:10,4/4/94 21:40,1,0.225,0.216,0.108,0.072,0.052,0.052,0.068,16.5,0.014,0,0,0,43,23,34,0.81,2,0,P,S,M,1,28.04%,4/4/94,4/5/94,4,1994,1.44,2.74,1.37,0.14,0.14,0.07,0.35,0.68,0.34,0.03,0.04,0.02,5.5,10.9,5.45,0.1,0.1,0.05,0,0.23
178,2,4/12/94 8:25,4/13/94 6:50,1,0.759,0.612,0.534,0.492,0.414,0.355,2.172,22.417,0.034,0.018,0.018,0.089,56,40,47,0.93,0,0,P,,,1,,4/12/94,4/13/94,4,1994,10.32,14.37,7.19,9.51,11.73,5.87,1.88,2.92,1.46,1.66,2.06,1.03,6.9,13.3,6.65,2,2.7,1.35,0,0.76
179,4,4/14/94 23:40,4/15/94 5:40,1,0.745,0.564,0.528,0.516,0.504,0.446,2.866,6,0.124,0,0.759,0.777,70,38,54,0.62,0,0,P,,,1,,4/14/94,4/17/94,4,1994,34.61,40.82,10.21,32.78,33.88,8.47,16.1,18.36,4.59,15.46,15.78,3.95,9.2,26,6.5,3.5,4.6,1.15,0,0.75
180,3,4/24/94 16:35,4/26/94 11:55,2,2.863,1.392,1.11,1.008,0.774,0.481,15.279,43.333,0.066,0.145,0.145,0.145,85,49,67,1.86,0,0,P,,,1,,4/24/94,4/26/94,4,1994,1197.7,1245.5,415.17,1170.92,1191.22,397.07,661.71,676.63,225.54,658.39,669.58,223.19,23,36.9,12.3,15.6,18.1,6.03,0,2.86
181,2,4/28/94 11:15,4/29/94 1:25,1,0.333,0.276,0.186,0.144,0.108,0.104,0.208,14.167,0.024,0,1.546,3.008,46,33,39,0.51,NA,0,P,,,1,,4/28/94,4/29/94,4,1994,15.99,30.52,15.26,8.18,14.9,7.45,3.55,6.63,3.32,2.11,3.75,1.88,7.2,14.4,7.2,1.1,2.2,1.1,0,0.33
