date	phos_tot	phos_storm	solids_tot	solids_storm	q_tot	q_storm
5/25/91	2.2	0	0.02	0	0.85	0
5/26/91	2.41	0.15	0.03	0	0.92	0.07
5/27/91	2.81	0.55	0.03	0	1.1	0.25
5/28/91	2.26	0	0.03	0	0.85	0
5/29/91	2.93	0.63	0.04	0.01	1.1	0.25
5/30/91	2.3	0	0.03	0	0.85	0
5/31/91	12.53	10.23	0.21	0.18	4.6	3.75
6/1/91	15.21	8.29	0.28	0.15	5.5	3
6/2/91	19.27	12.35	0.41	0.28	6.9	4.4
6/3/91	6.92	0	0.13	0	2.5	0
6/4/91	3.06	1.99	0.06	0.04	1.1	0.73
6/5/91	1.75	0.68	0.04	0.02	0.61	0.24
6/6/91	1.07	0	0.02	0	0.37	0
6/7/91	0.48	0.41	0.01	0.01	0.17	0.15
6/8/91	0.28	0.21	0.01	0.01	0.1	0.08
6/9/91	0.07	0	0	0	0.02	0
6/10/91	0.05	0.05	0	0	0.02	0.02
6/11/91	0	0	0	0	0	0
6/12/91	0	0	0	0	0	0
6/13/91	0	0	0	0	0	0
6/14/91	46.96	46.96	5.22	5.22	10	10
6/15/91	22.66	22.66	4.49	4.49	4.2	4.2
6/16/91	8.2	7.13	1.39	1.3	2.1	1.7
6/17/91	2.37	1.3	0.33	0.24	0.86	0.46
6/18/91	1.07	0	0.09	0	0.4	0
6/19/91	0.5	0.48	0.02	0.02	0.18	0.17
6/20/91	0.31	0.29	0.01	0.01	0.11	0.1
6/21/91	0.02	0	0	0	0.01	0
6/22/91	0.05	0.05	0	0	0.02	0.02
6/23/91	0.01	0.01	0	0	0	0
6/24/91	0	0	0	0	0	0
6/25/91	0	0	0	0	0	0
6/26/91	0	0	0	0	0	0
6/27/91	0	0	0	0	0	0
6/28/91	0	0	0	0	0	0
6/29/91	0	0	0	0	0	0
6/30/91	0	0	0	0	0	0
7/1/91	0	0	0	0	0	0
7/2/91	0	0	0	0	0	0
7/3/91	0	0	0	0	0	0
7/4/91	0	0	0	0	0	0
7/5/91	0	0	0	0	0	0
7/6/91	0	0	0	0	0	0
7/7/91	0	0	0	0	0	0
7/8/91	0	0	0	0	0	0
7/9/91	0	0	0	0	0	0
7/10/91	0	0	0	0	0	0
7/11/91	0	0	0	0	0	0
7/12/91	0	0	0	0	0	0
7/13/91	0	0	0	0	0	0
7/14/91	0	0	0	0	0	0
7/15/91	0	0	0	0	0	0
7/16/91	0	0	0	0	0	0
7/17/91	0	0	0	0	0	0
7/18/91	0	0	0	0	0	0
7/19/91	0	0	0	0	0	0
7/20/91	0	0	0	0	0	0
7/21/91	0	0	0	0	0	0
7/22/91	0	0	0	0	0	0
7/23/91	0	0	0	0	0	0
7/24/91	0	0	0	0	0	0
7/25/91	0	0	0	0	0	0
7/26/91	0	0	0	0	0	0
7/27/91	0	0	0	0	0	0
7/28/91	0	0	0	0	0	0
