storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
35,2,5/26/91 9:55,5/26/91 18:30,1,0.477,2.796,1.872,1.452,0.796,0.398,3.438,8.58,0.056,0.109,0.591,0.645,85,51,68,0.05,0,0,P,,,1,,5/26/91,5/27/91,5,1991,8.78,17.34,8.67,6.37,12.52,6.26,0.85,1.67,0.84,0.49,0.95,0.48,6.4,12.7,6.35,1.4,2.7,1.35,0,0.48
36,4,5/30/91 15:30,6/1/91 16:55,3,1.275,1.548,1.344,1.356,0.914,0.529,6.649,49.42,0.026,0.007,0.007,0.593,79,54,66,0.83,0,0,P,,,1,,5/30/91,6/2/91,5,1991,20.8,49.42,12.35,11.14,26.18,6.55,2.37,5.44,1.36,1.42,3.04,0.76,11,31.5,7.88,4.2,9.9,2.48,0,1.28
37,4,6/14/91 12:50,6/15/91 4:45,1,2.222,1.56,1.536,1.524,1.398,0.996,25.346,15.92,0.14,0,0,0.008,78,59,68,3.18,0,0,P,,,1,,6/14/91,6/17/91,6,1991,122.11,230.46,57.62,120.9,223.21,55.8,16.52,34.72,8.68,16.43,34.07,8.52,30,61.1,15.28,27.5,45.9,11.48,0,2.22
38,3,7/1/91 15:10,7/1/91 18:15,1,0.354,1.044,0.948,0.892,0.578,0.332,1.661,3.08,0.115,0,0.062,0.062,86,56,70,0.16,0,0,P,,,1,,7/1/91,7/3/91,7,1991,1.07,2.99,1,0.12,0.14,0.05,0.05,0.13,0.04,0.01,0.01,0,2.9,8,2.67,0.4,0.5,0.17,0,0.35
39,5,7/4/91 14:10,7/4/91 20:25,1,0.233,1.656,1.02,0.808,0.434,0.217,0.88,6.25,0.037,0.005,0.368,0.43,94,62,75,0.02,0,0,P,,,1,,7/4/91,7/8/91,7,1991,0.96,4.59,0.92,0.07,0.18,0.04,0.04,0.21,0.04,0,0,0,2.7,13.1,2.62,0.2,0.6,0.12,0,0.23
40,3,7/12/91 5:25,7/13/91 15:50,1,1.463,1.236,1.14,0.984,0.68,0.452,7.342,34.42,0.043,0,0.135,0.165,79,59,69,1.5,0,0,P,,,1,,7/12/91,7/14/91,7,1991,1.65,4.65,1.55,0.59,1.14,0.38,0.11,0.3,0.1,0.04,0.06,0.02,4.6,12.9,4.3,1.6,3.6,1.2,0,1.46
41,2,7/22/91 5:20,7/22/91 10:20,1,0.273,0.348,0.306,0.288,0.206,0.137,0.344,5,0.055,0,0.055,0.236,93,65,80,0.66,0,0,P,,,1,,7/22/91,7/23/91,7,1991,1.39,2.71,1.35,0.12,0.17,0.09,0.19,0.38,0.19,0,0,0,2.8,5.3,2.65,0.4,0.5,0.25,0,0.27
42,5,7/28/91 3:10,7/30/91 12:10,1,1.441,0.48,0.462,0.396,0.268,0.164,2.305,57,0.025,0,0.007,0.051,89,55,69,1.05,0,0,P,,,1,,7/28/91,8/1/91,7,1991,1.96,6.53,1.31,0.95,1.91,0.38,0.3,0.98,0.2,0.14,0.26,0.05,4.7,16.4,3.28,2.4,4.7,0.94,0,1.44
43,4,8/7/91 19:20,8/8/91 14:10,1,1.392,0.492,0.468,0.408,0.312,0.245,2.831,18.83,0.074,0,0,0.003,78,58,69,1.71,0,0,P,,,1,,8/7/91,8/10/91,8,1991,10.04,24.85,6.21,9.42,15.95,3.99,1.1,2.59,0.65,1.01,1.75,0.44,6,16.6,4.15,4,6.4,1.6,0,1.39
44,4,9/3/91 4:50,9/3/91 12:05,1,0.893,1.152,0.864,0.788,0.678,0.608,4.844,7.25,0.123,0,0,0,81,54,69,0.72,0,0,P,,,1,,9/3/91,9/6/91,9,1991,0.97,3.59,0.9,0.32,0.79,0.2,0.04,0.16,0.04,0.01,0.03,0.01,2.6,9.8,2.45,0.8,1.8,0.45,0,0.89
