storm_num,num_days,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_2day,ap_3day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,julian,sinJulian,cosJulian,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,logptotmax,logptottot,logptotavg,logpstormmax,logpstormtot,logpstormavg,logstotmax,logstottot,logstotavg,logsstormmax,logsstormtot,logsstormavg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
111,8,na,na,na,na,na,na,na,na,na,na,na,na,na,37,5,21,1.01,10.5,7,P,S,M,3,13.39,13,0.221921513,0.975064532,1,1993,1.72,10.13,1.27,0.47,0.71,0.09,0.13,0.9,0.11,0.02,0.04,0.01,0.238046103,1.006037955,0.10720997,-0.318758763,-0.142667504,-1,-0.853871964,-0.040958608,-0.920818754,-1.522878745,-1.301029996,-1.698970004,3,20.3,2.54,0.6,1.1,0.1,0.94,0.94
113,2,na,na,na,na,na,na,na,na,na,na,na,na,na,39,17,29,0.12,1.8,U,P,S,M,3,39.17,27,0.448229342,0.893918597,1,1993,4.63,9.14,4.57,0.24,0.37,0.19,0.17,0.32,0.16,0.04,0.06,0.03,0.666517981,0.961421094,0.660865478,-0.602059991,-0.420216403,-0.698970004,-0.744727495,-0.48148606,-0.769551079,-1.301029996,-1.15490196,-1.397940009,5.8,11.2,5.6,0.8,1.2,0.6,na,na
114,4,na,na,na,na,na,na,na,na,na,na,na,na,na,48,19,36,0,0,Z,,,M,6,,31,0.508670944,0.860961016,1,1993,7.76,23.94,5.99,3.44,7.79,1.95,0.25,0.87,0.22,0.13,0.28,0.07,0.890421019,1.379305518,0.77815125,0.537819095,0.892094603,0.292256071,-0.585026652,-0.055517328,-0.638272164,-0.853871964,-0.537602002,-1.096910013,7,24.5,6.13,2.3,4.7,1.18,na,na
115,2,na,na,na,na,na,na,na,na,na,na,na,na,na,48,17,33,0.03,0.5,1,P,S,M,3,,36,0.580800273,0.814046094,2,1993,3.41,6.38,3.19,1.26,2.08,1.04,0.17,0.33,0.16,0.04,0.07,0.04,0.534026106,0.805500858,0.505149978,0.103803721,0.320146286,0.021189299,-0.744727495,-0.468521083,-0.769551079,-1.301029996,-1.096910013,-1.301029996,5.2,10.2,5.1,1.2,2.2,1.1,0,0
116,3,na,na,na,na,na,na,na,na,na,na,na,na,na,35,19,27,0,0,1,,,M,5,,38,0.60847687,0.793571609,2,1993,2.15,5.63,1.88,0.37,0.68,0.23,0.13,0.35,0.12,0.02,0.03,0.01,0.334453751,0.751279104,0.276461804,-0.420216403,-0.161150909,-0.619788758,-0.853871964,-0.443697499,-0.886056648,-1.522878745,-1.397940009,-1.698970004,4,11.5,3.83,0.5,0.5,0.17,0,0
117,3,na,na,na,na,na,na,na,na,na,na,na,na,na,35,22,29,0.07,0.5,U,P,S,M,3,,41,0.648629561,0.761104259,2,1993,1.56,4.27,1.42,0.52,0.79,0.26,0.12,0.34,0.11,0.02,0.03,0.01,0.195899652,0.631443769,0.155336037,-0.27572413,-0.096910013,-0.568636236,-0.886056648,-0.455931956,-0.920818754,-1.522878745,-1.397940009,-1.698970004,4.3,11.8,3.93,0.8,1.3,0.43,na,na
118,4,na,na,na,na,na,na,na,na,na,na,na,na,na,33,3,22,0,0,Z,,,M,6,,45,0.699458327,0.714673386,2,1993,0.89,3.35,0.84,0.07,0.11,0.03,0.09,0.32,0.08,0.01,0.02,0.01,-0.045757491,0.526339277,-0.070581074,-1.096910013,-0.920818754,-1.397940009,-1,-0.48148606,-1.045757491,-1.698970004,-1.522878745,-1.698970004,3.2,11.8,2.95,0.3,0.6,0.15,na,na
119,3,na,na,na,na,na,na,na,na,na,na,na,na,na,24,-7,15,0.75,13.5,3,P,S,M,3,8.78,53,0.790945657,0.611886401,2,1993,2.15,5.81,1.94,0.6,1.23,0.41,0.18,0.49,0.16,0.05,0.11,0.04,0.334453751,0.764922985,0.290034611,-0.214670165,0.093421685,-0.37675071,-0.721246399,-0.301029996,-0.769551079,-1.22184875,-0.920818754,-1.301029996,6,16.2,5.4,1.5,3.7,1.23,0.26,0.26
120,3,na,na,na,na,na,na,na,na,na,na,na,na,na,36,9,23,0,0,5,,,M,5,10.16,57,0.831170626,0.556017437,2,1993,1.67,4.87,1.62,0.1,0.15,0.05,0.13,0.38,0.13,0.01,0.02,0.01,0.225309282,0.688419822,0.212187604,-0.958607315,-0.795880017,-1.22184875,-0.853871964,-0.408935393,-0.853871964,-1.698970004,-1.522878745,-1.698970004,4,12,4,0,0,0,0.51,0.51
121,8,na,na,na,na,na,na,na,na,na,na,na,na,na,48,13,35,0.02,0,6,P,,M,5,15.16,60,0.858763958,0.512371412,3,1993,107.15,493.94,61.74,103.14,211.15,26.39,10.17,48.36,6.04,9.92,26.51,3.31,2.030032705,2.69368299,1.790636962,2.013469232,2.324611653,1.421603927,1.007747778,1.684576087,0.781755375,0.996949248,1.42357352,0.521138084,34,167,20.88,27,60,5.45,0.91,0.91
