date	phos_tot	solids_tot	q_tot	phos_storm	solids_storm	q_storm
4/3/2006	24	4.8	13	19.71	3.92	0.5
4/4/2006	4.29	0.88	10.9	0	0	1.12
4/5/2006	2.69	0.59	9.96	0.28	0.1	0.18
4/6/2006	2.41	0.51	9.78	0	0.02	0
4/7/2006	2.45	0.49	10.27	0.04	0	1.5
4/8/2006	2.11	0.4	9.15	0.26	0.09	0.38
4/9/2006	1.96	0.35	8.77	0.11	0.04	0
4/10/2006	1.85	0.31	8.55	0	0	0.3
4/11/2006	1.79	0.28	8.53	0.24	0.06	0.28
4/12/2006	1.67	0.25	8.25	0.12	0.03	0
4/13/2006	1.55	0.22	7.9	0	0	0.43
4/14/2006	1.47	0.2	7.7	0.16	0.04	0.23
4/15/2006	1.37	0.17	7.47	0.06	0.01	0
4/16/2006	1.31	0.16	7.37	0	0	0.33
4/17/2006	1.26	0.14	7.28	0.11	0.02	0.24
4/18/2006	1.18	0.12	7.04	0.03	0	0
4/19/2006	1.15	0.12	7.02	0	0	0.14
4/20/2006	1.16	0.12	6.88	0	0	0
4/21/2006	1.24	0.13	7.15	0.08	0.01	0.27
4/22/2006	1.27	0.13	7.08	0.11	0.01	0.34
4/23/2006	1.27	0.13	6.83	0	0	0.09
4/24/2006	1.3	0.14	6.74	0.03	0.01	0
4/25/2006	1.33	0.14	6.66	0.06	0.01	0.14
4/26/2006	1.35	0.15	6.54	0	0	0.02
4/27/2006	1.39	0.15	6.52	0.04	0	0
4/28/2006	1.44	0.16	6.51	0.09	0.01	0
4/29/2006	11	0.18	6.87	8.59	0	0.36
4/30/2006	2.41	1.7	10.2	0	1.52	3.69
5/1/2006	21	1.4	9.4	18.59	1.22	1.67
5/2/2006	2.14	0.25	8.46	0.13	0.01	0.73
5/3/2006	2.02	0.24	7.73	0.01	0	0
5/4/2006	2.01	0.24	7.42	0	0	0.42
5/5/2006	2.03	0.25	7.23	0	0	0.23
5/6/2006	2.03	0.25	7	0	0	0
5/7/2006	2.05	0.25	6.81	0.02	0	0
5/8/2006	2.12	0.27	6.83	0	0	0.02
5/9/2006	3.22	1.7	10	1.1	1.43	3.19
5/10/2006	3.01	1.2	9.08	0.89	0.93	1.09
5/11/2006	2.68	0.36	7.99	0	0	0
5/12/2006	3.09	0.43	9.2	0.41	0.07	1.21
5/13/2006	3.23	0.48	9.62	0.55	0.12	0.32
5/14/2006	3.13	0.48	9.3	0.13	0	0
5/15/2006	3.17	0.51	9.42	0.17	0.03	0.12
5/16/2006	3	0.51	8.9	0	0.03	1.17
5/17/2006	2.78	0.49	8.24	0.28	0.01	0.51
5/18/2006	2.61	0.48	7.73	0.11	0	0
5/19/2006	2.5	0.49	7.38	0	0.01	0.46
5/20/2006	2.37	0.48	6.99	0.09	0	0.07
5/21/2006	2.35	0.5	6.92	0.07	0.02	0
5/22/2006	2.28	0.51	6.73	0	0.03	0.19
5/23/2006	2.23	0.52	6.57	0	0	0.03
5/24/2006	2.23	0.54	6.54	0	0.02	0
5/25/2006	2.31	0.55	6.62	0.08	0.03	0.19
5/26/2006	2.32	0.53	6.48	0	0.03	0.05
5/27/2006	2.36	0.52	6.43	0.04	0.02	0
5/28/2006	2.36	0.5	6.27	0.04	0	0.33
5/29/2006	2.29	0.47	5.94	0	0.15	0
5/30/2006	11.8	0.69	7.85	9.51	0.37	1.91
5/31/2006	6.2	0.32	6.47	3.91	0	0.57
6/1/2006	2.54	0.46	6.09	0.02	0.03	0.19
6/2/2006	2.52	0.44	5.9	0	0.01	0
6/3/2006	2.54	0.43	5.79	0.02	0	0.28
6/4/2006	2.52	0.41	5.6	0	0.01	0.09
6/5/2006	2.54	0.4	5.51	0.02	0	0
6/6/2006	8.3	2.04	7.08	5.78	1.64	1.57
6/7/2006	4.7	0.7	5.98	1.97	0.31	0.47
6/8/2006	2.73	0.39	5.51	0	0	0
6/9/2006	2.73	0.39	5.5	0	0	0
6/10/2006	2.93	0.42	5.9	0.25	0.02	0.4
6/11/2006	2.88	0.42	5.8	0.2	0.02	0.3
6/12/2006	2.68	0.4	5.4	0	0	0.22
6/13/2006	2.61	0.39	5.25	0.04	0	0.07
6/14/2006	2.57	0.39	5.18	0	0	0
6/15/2006	2.63	0.41	5.3	0.06	0.02	0.13
6/16/2006	2.57	0.4	5.17	0	0	0
6/17/2006	2.62	0.42	5.28	0.05	0.02	0.11
6/18/2006	2.68	0.43	5.39	0.11	0.03	0.28
6/19/2006	2.54	0.41	5.11	0	0	0
6/20/2006	2.58	0.42	5.19	0.04	0.01	0.08
6/21/2006	2.57	0.43	5.17	0.03	0.02	0.22
6/22/2006	2.5	0.42	5.03	0.06	0.03	0.08
6/23/2006	2.44	0.39	4.95	0	0	0
6/24/2006	2.57	0.39	5.24	0.13	0	0
6/25/2006	6.8	1.4	6.74	4.22	1.06	1.5
6/26/2006	2.8	0.39	5.81	0.22	0.05	0.57
6/27/2006	2.58	0.34	5.4	0	0	0.28
6/28/2006	2.46	0.31	5.18	0.12	0.04	0.06
6/29/2006	2.42	0.29	5.12	0.08	0.02	0
6/30/2006	2.34	0.27	5	0	0	0
7/1/2006	2.34	0.26	5.03	0.01	0.02	0.03
7/2/2006	2.33	0.25	5.04	0	0.01	0.04
7/3/2006	2.34	0.24	5.1	0.01	0	0.14
7/4/2006	2.32	0.22	5.09	0.1	0.03	0.13
7/5/2006	2.24	0.21	4.96	0.02	0.02	0
7/6/2006	2.22	0.19	4.95	0	0	0.08
7/7/2006	2.17	0.18	4.87	0	0.01	0
7/8/2006	2.19	0.17	4.95	0.02	0	0.08
7/9/2006	2.23	0.17	5.07	0.06	0	0.06
7/10/2006	2.18	0.16	5.01	0	0.01	0
7/11/2006	2.18	0.15	5.03	0	0	0.02
7/12/2006	2.2	0.15	5.13	0.02	0	0.13
7/13/2006	2.13	0.14	5	0.07	0.01	0
7/14/2006	2.15	0.14	5.12	0.09	0.01	0.12
7/15/2006	2.06	0.13	5	0	0	0
7/16/2006	2.03	0.13	5	0.07	0.01	0
7/17/2006	1.99	0.13	5	0.03	0.01	0
7/18/2006	1.96	0.12	5	0	0	0
7/19/2006	2.81	0.21	5.23	0	0	0.23
7/20/2006	15.6	3.79	8.12	12.79	3.58	3.12
7/21/2006	3.77	0.26	5.41	0.96	0.05	0.18
7/22/2006	3.05	0.26	5.49	0.53	0	0.26
7/23/2006	2.71	0.37	5.23	0.19	0.11	0
7/24/2006	2.52	0.49	5.18	0	0.23	0
7/25/2006	2.69	0.51	5.75	0.44	0.14	0.57
7/26/2006	2.37	0.42	5.27	0.12	0.05	0.09
7/27/2006	2.25	0.37	5.19	0	0	0.22
7/28/2006	2.11	0.32	5.06	0.21	0.07	0.09
7/29/2006	1.99	0.28	4.97	0.09	0.03	0
7/30/2006	1.9	0.25	4.93	0	0	0.27
7/31/2006	1.76	0.21	4.73	0.09	0.02	0.07
8/1/2006	1.67	0.19	4.66	0	0	0
8/2/2006	6.8	1.4	6.66	5.13	1.21	1.61
8/3/2006	1.79	0.17	5.38	0.26	0.04	0.33
8/4/2006	1.62	0.15	5.05	0.09	0.02	0
8/5/2006	1.53	0.13	4.96	0	0	0
8/6/2006	1.58	0.12	5.32	0.18	0.03	0.36
8/7/2006	1.49	0.11	5.19	0.09	0.02	0.23
8/8/2006	1.4	0.09	5.09	0	0	0
8/9/2006	1.37	0.09	5.15	0.02	0	0.06
8/10/2006	1.37	0.09	5.16	0.02	0	0.07
8/11/2006	1.35	0.1	5.04	0	0.01	0.13
8/12/2006	1.32	0.11	4.91	0	0	0
8/13/2006	4.84	0.93	5.67	3.52	0.82	0.76
8/14/2006	15.2	8.14	9.64	13.88	8.03	4.24
8/15/2006	2.59	0.43	5.51	0.14	0.07	0.11
8/16/2006	2.45	0.38	5.4	0	0.02	0
8/17/2006	2.48	0.36	5.65	0.03	0	0.22
8/18/2006	2.35	0.32	5.51	0.26	0.07	0.08
8/19/2006	2.25	0.29	5.43	0.16	0.04	0
8/20/2006	2.09	0.25	5.21	0	0	0.27
8/21/2006	2.01	0.23	5.15	0.14	0.04	0.21
8/22/2006	1.87	0.2	4.94	0	0.01	0
8/23/2006	1.88	0.19	5.13	0.01	0	0
8/24/2006	1.87	0.17	5.25	0.03	0.02	0.12
8/25/2006	5.3	0.87	6.21	3.46	0.72	1.08
8/26/2006	1.84	0.15	5.5	0	0	0.25
8/27/2006	1.75	0.13	5.38	0.16	0.02	0.13
8/28/2006	1.66	0.12	5.25	0.07	0.01	0
8/29/2006	1.59	0.11	5.2	0	0	0.27
8/30/2006	1.53	0.1	5.13	0.1	0.02	0.2
8/31/2006	1.46	0.09	4.93	0.03	0.01	0
9/1/2006	1.43	0.08	4.86	0	0	0.12
9/2/2006	1.4	0.08	4.8	0.03	0.01	0.06
9/3/2006	1.37	0.07	4.74	0	0	0
9/4/2006	1.48	0.07	5.17	0.11	0	0.52
9/5/2006	1.4	0.06	4.89	0.12	0.01	0.24
9/6/2006	1.32	0.06	4.65	0.04	0.01	0
9/7/2006	1.28	0.05	4.55	0	0	0.06
9/8/2006	1.25	0.05	4.49	0	0	0
9/9/2006	1.25	0.05	4.49	0	0	0
9/10/2006	1.28	0.05	4.66	0.03	0	0
9/11/2006	1.53	0.05	5.59	0.13	0.01	0.93
9/12/2006	1.48	0.05	5.43	0.08	0.01	0.77
9/13/2006	1.4	0.04	5.17	0	0	0.42
9/14/2006	1.31	0.04	4.88	0.05	0	0.13
9/15/2006	1.26	0.04	4.75	0	0	0
9/16/2006	1.3	0.04	4.91	0.04	0	0
9/17/2006	4	0.51	5.73	2.7	0.46	0.82
9/18/2006	1.34	0.05	5.15	0.04	0	0.24
9/19/2006	1.3	0.05	5.01	0	0	0.25
9/20/2006	1.22	0.05	4.76	0	0	0
9/21/2006	1.22	0.05	4.79	0	0	0.03
9/22/2006	1.36	0.06	5.37	0.14	0.01	0.33
9/23/2006	1.28	0.06	5.1	0.09	0	0.06
9/24/2006	1.26	0.06	5.04	0.07	0	0
9/25/2006	1.19	0.06	4.81	0	0	0.08
9/26/2006	1.16	0.06	4.73	0.02	0	0
9/27/2006	1.22	0.07	5	0.08	0.01	0.27
9/28/2006	1.14	0.06	4.67	0	0	0.12
9/29/2006	1.16	0.06	4.55	0	0	0
9/30/2006	1.17	0.06	4.58	0.01	0	0.03
10/1/2006	1.26	0.09	4.71	0	0	0
10/2/2006	1.29	0.09	4.72	0.03	0	0.01
10/3/2006	1.26	0.09	4.71	0	0	0
10/4/2006	1.27	0.09	4.82	0.13	0	0.32
10/5/2006	1.22	0.09	4.74	0.08	0	0.24
