storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_2day,ap_3day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
125,3,7/7/1993 15:20,7/7/1993 16:10,1,0.222,0.864,0.804,0.708,0.434,-9,0.799,0.833,0.266,0,0.021,0.983,83,57,70,0.04,0,0,P,0,0,1,,7/7/1993,7/9/1993,7,1993,22.38,59.45,19.82,3.67,8.3,2.77,12.42,24.77,8.26,6.22,7.83,2.61,19,54,18,2,3,1,0,0.22
126,2,7/11/1993 1:45,7/11/1993 9:00,1,0.391,0.444,0.42,0.376,0.314,0.243,0.818,7.25,0.054,0,0.053,0.277,84,52,70,0.44,0,0,P,0,0,1,,7/11/1993,7/12/1993,7,1993,24.43,38.18,19.09,10.7,10.7,5.35,19.03,24.91,12.45,14.5,14.72,7.36,21,36,18,6,6,3,0,0.39
127,3,7/13/1993 9:35,7/13/1993 13:00,1,0.342,0.48,0.396,0.32,0.238,0.222,0.528,3.417,0.1,0,0.391,0.44,84,62,72,0.42,0,0,P,0,0,1,,7/13/1993,7/15/1993,7,1993,20.62,50.03,16.68,6.87,9.24,3.08,15.79,26.25,8.75,10.13,10.35,3.45,19,49,16.33,4,6,2,0,0.34
128,2,7/27/1993 16:40,7/27/1993 20:00,1,0.679,1.644,1.464,1.212,0.926,0.64,5.42,3.333,0.204,0.106,0.26,0.328,89,67,76,0.46,0,0,P,0,0,1,,7/27/1993,7/28/1993,7,1993,219.69,245.97,122.98,206.28,219.15,109.58,115.09,122.17,61.09,110.04,112.08,56.04,23,39,19.5,10,13,6.5,0,0.68
129,4,8/9/1993 2:00,8/9/1993 11:00,1,1.096,3.876,3.636,3.404,1.978,1.054,21.609,9,0.122,0.084,0.087,0.152,93,61,79,0.98,0,0,P,0,0,1,,8/9/1993,8/12/1993,8,1993,544.39,580.49,145.12,534.7,540.39,135.1,309.75,321.15,80.29,306.49,308.97,77.24,38,79,19.75,26,28,7,0,1.1
130,2,8/15/1993 1:25,8/15/1993 10:35,1,1.176,0.504,0.438,0.412,0.364,0.345,2.983,9.167,0.128,0.132,0.132,0.132,87,65,77,1.62,0,0,P,0,0,1,,8/15/1993,8/16/1993,8,1993,164.52,179.47,89.74,154.24,158.91,79.46,76.15,81.13,40.57,73.34,75.51,37.76,33,49,24.5,21,22,11,0,1.18
131,4,8/18/1993 9:35,8/18/1993 12:50,1,1.2,2.832,2.742,2.416,1.592,0.902,17.169,3.25,0.369,0.002,0.124,1.404,86,65,74,1.2,0,0,P,0,0,1,,8/18/1993,8/21/1993,8,1993,647.36,702.85,175.71,634.09,655.46,163.87,292.09,309.22,77.3,287.67,293.88,73.47,50,104,26,35,41,10.25,0,1.2
132,4,8/30/1993 1:25,8/30/1993 19:55,1,1.783,3.348,2.634,2.292,1.436,1.054,21.742,18.5,0.096,0,0.002,0.008,78,50,66,2.32,0,0,P,0,0,1,,8/30/1993,9/2/1993,8,1993,1019.15,1086.99,271.75,1013.77,1051.83,262.96,413.71,431.17,107.79,411.68,423.71,105.93,58,110,27.5,46,56,14,0,1.78
133,4,9/11/1993 12:20,9/14/1993 3:25,2,2.007,1.812,1.638,1.568,1.1,0.636,14.68,63.083,0.032,0,0.006,0.048,86,45,63,2.67,0,0,P,0,0,1,,9/11/1993,9/14/1993,9,1993,278.49,335.8,83.95,266.02,299.75,74.94,115.93,126.9,31.73,113.96,120.4,30.1,36,82,20.5,23,31,7.75,0,2.01
134,3,10/15/1993 10:50,10/15/1993 19:50,1,0.27,0.264,0.216,0.188,0.152,0.133,0.24,9,0.03,0,0,0,61,43,52,0.23,0,0,P,0,0,1,,10/15/1993,10/17/1993,10,1993,7.38,21.05,7.02,1.36,3.08,1.03,2.96,8.37,2.79,0.69,1.68,0.56,13,37,12.33,1,1,0.33,0,0.27
