storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
75,4,7/2/1992 6:00,7/2/1992 14:30,1,0.34,0.98,0.87,0.66,0.39,0.21,1,8.5,0.039,0,0,0,80,56,69,0.45,0,0,P,,,1,,7/2/1992,7/5/1992,7,1992,15.78,60.54,15.14,1.59,3.78,0.95,0.26,0.97,0.24,0.03,0.05,0.01,16,63,15.75,1,3,0.75,0.00,0.34
76,4,7/7/1992 3:25,7/8/1992 7:50,2,1.01,0.98,0.94,0.76,0.61,0.36,4.035,28.417,0.036,0,0.131,0.468,84,62,74,0.92,0,0,P,,,1,,7/7/1992,7/10/1992,7,1992,52,122.62,30.66,37.1,63.02,15.76,1.1,1.87,0.47,0.9,1.07,0.27,19,66,16.5,6,14,3.5,0.00,1.01
77,4,7/12/1992 5:35,7/13/1992 18:25,2,1.98,1.57,1.55,1.18,0.74,0.5,8.649,36.833,0.054,0.002,0.006,0.576,81,58,68,2.33,0,0,P,,,1,,7/12/1992,7/15/1992,7,1992,142,313.74,78.44,121.1,230.14,57.54,2.8,7.28,1.82,2.57,6.36,1.59,27,90,22.5,11,26,6.5,0.00,1.98
78,3,7/15/1992 23:15,7/16/1992 11:15,1,0.23,0.18,0.17,0.16,0.15,0.13,0.195,12,0.019,0,1.055,1.98,82,58,71,0.29,0,0,P,,,1,,7/16/1992,7/18/1992,7,1992,20.9,58.96,19.65,1.14,1.14,0.38,0.23,0.63,0.21,0.04,0.06,0.02,16,44,14.67,2,2,0.67,0.00,0.23
79,7,7/22/1992 5:45,7/26/1992 2:05,3,0.97,0.58,0.47,0.5,0.38,0.21,1.714,92.333,0.01,0,0.045,0.045,84,55,69,1.48,0,0,P,,,1,,7/22/1992,7/28/1992,7,1992,28.26,168.8,24.11,6.97,18.65,2.66,0.27,1.6,0.23,0.08,0.21,0.03,18,107,15.29,4,15,1.25,0.00,0.97
80,6,7/30/1992 6:35,7/30/1992 15:20,1,1.08,0.31,0.28,0.28,0.27,0.24,1.909,8.75,0.124,0,0.008,0.329,81,50,66,1.02,0,0,P,,,1,,7/30/1992,8/4/1992,7,1992,79,231.57,38.6,57.15,101.67,16.95,1.6,3.78,0.63,1.38,2.38,0.4,22,96,16,9,18,3,0.00,1.08
81,8,8/7/1992 11:35,8/12/1992 15:05,3,1.76,2.53,1.99,1.78,1.18,0.64,12.617,123.5,0.014,0,0,0.046,94,51,70,1.39,0,0,P,,,1,,8/7/1992,8/14/1992,8,1992,61,249.98,31.25,40.4,105.06,13.13,1.2,4.06,0.51,0.96,2.1,0.26,20,126,15.75,7,35,3.18,0.00,1.76
82,5,8/25/1992 11:10,8/25/1992 19:45,1,0.64,1.3,0.93,0.7,0.45,0.25,2.204,8.583,0.074,0,0,0,88,47,66,0.92,0,0,P,,,1,,8/25/1992,8/29/1992,8,1992,14.61,62.58,12.52,4.02,8.04,1.61,0.2,0.81,0.16,0.08,0.15,0.03,14,60,12,3,5,1,0.00,0.64
83,3,9/2/1992 1:35,9/2/1992 14:50,1,0.21,0.41,0.3,0.24,0.19,0.09,0.248,13.25,0.016,0,0,0.002,79,54,67,0.18,0,0,P,,,1,,9/2/1992,9/4/1992,9,1992,10.54,30.18,10.06,1.24,2.28,0.76,0.14,0.42,0.14,0.03,0.09,0.03,12,35,11.67,2,5,1.67,0.00,0.21
84,8,9/5/1992 22:30,9/9/1992 18:40,3,2.63,1.91,1.91,1.74,1.31,0.84,24.792,92.167,0.029,0,0.002,0.215,82,44,64,2.22,0,0,P,,,1,,9/5/1992,9/12/1992,9,1992,187.43,493.53,61.69,178.57,379.3,47.41,3.27,8.96,1.12,3.13,6.88,0.86,30,144,18,19,58,5.27,0.00,2.63
85,5,9/14/1992 4:10,9/18/1992 7:30,3,1.47,1.13,0.85,0.79,0.54,0.38,4.552,99.333,0.015,0,0,0.532,81,49,71,1.31,0,0,P,,,1,,9/14/1992,9/18/1992,9,1992,94.67,312.72,62.54,50.24,111.69,22.34,2.06,6.42,1.28,1.4,3.32,0.66,21,94,18.8,6,18,3.6,0.00,1.47
86,4,9/20/1992 13:35,9/20/1992 23:25,1,0.42,0.37,0.31,0.2,0.14,0.11,0.357,9.833,0.042,0,0.355,0.651,64,40,56,0.42,0,0,P,,,1,,9/20/1992,9/23/1992,9,1992,45,146.93,36.73,21.76,53.97,13.49,0.59,1.74,0.44,0.41,1.02,0.26,18,63,15.75,5,11,2.75,0.00,0.42
87,5,9/26/1992 14:45,9/26/1992 19:55,1,0.45,1.25,0.97,0.78,0.51,0.3,1.651,5.167,0.087,0.002,0.004,0.004,74,33,55,0.76,0,0,P,,,1,,9/26/1992,9/30/1992,9,1992,38,97.55,19.51,25.31,35.58,7.12,0.28,0.78,0.16,0.12,0.22,0.04,17,72,14.4,4,7,1.4,0.00,0.45
88,5,10/8/1992 7:10,10/8/1992 15:25,1,0.35,0.65,0.63,0.52,0.34,0.17,0.815,8.25,0.042,0,0,0,64,37,51,0.41,0,0,P,,,1,,10/8/1992,10/12/1992,10,1992,12.23,55.34,11.07,1.75,5.36,1.07,0.27,1.29,0.26,0.08,0.15,0.03,15,69,13.8,2,4,0.8,0.00,0.35
89,8,10/31/1992 18:00,11/2/1992 19:00,1,1.22,0.35,0.3,0.31,0.22,0.12,1.387,49,0.025,0,0,0,47,28,36,1.23,NA,0,P,,,1,,10/31/1992,11/7/1992,10,1992,61.52,149.7,18.71,51.82,73.98,9.25,2.48,5.89,0.74,2.07,2.69,0.34,26,141,17.63,13,33,3,0.00,1.22
90,9,11/19/1992 12:15,11/22/1992 21:05,2,2.96,0.26,0.22,0.22,0.19,0.18,3.252,80.833,0.037,0,0,0,51,13,35,3.8,NA,N,P,S,M,2,22.50%,11/19/1992,11/27/1992,11,1992,858.28,1921.02,213.45,850.23,1625.09,180.57,42.26,89.94,9.99,41.71,78.11,8.68,73,297,33,59,143,15.89,NA,NA
91,4,,,,,,,,,,,,,,,,29,3,21,0.1,1.5,3,P,S,M,3,11.79%,12/4/1992,12/7/1992,12,1992,37.98,130.39,32.6,9.4,16.07,4.02,1.87,6.31,1.58,0.5,0.83,0.21,21,70,17.5,6,10,2.5,0.35,0.45
92,9,12/14/1992 23:05,12/16/1992 0:45,1,0.91,0.17,0.16,0.16,0.15,0.14,0.72,25.667,0.035,0.02,0.02,0.02,39,6,28,0.95,0,2,P,,M,2,28.25%,12/14/1992,12/22/1992,12,1992,341.31,941.29,104.59,322.67,642.61,71.4,18.6,37.21,4.13,17.32,25.89,2.88,50,236,26.22,33,79,8.78,0.57,1.47
93,2,,,,,,,,,,,,,,,,29,-8,13,0.09,NA,U,P,,M,3,,12/24/1992,12/25/1992,12,1992,46.99,92.5,46.25,2.91,4.34,2.17,1.15,2.29,1.15,0.02,0.03,0.02,17,34,17,0,0,0,NA,NA
94,6,,,,,,,,,,,,,,,,38,-4,21,0.71,NA,1,P,,M,3,,12/27/1992,1/1/1993,12,1992,46.22,266.7,44.45,8.32,29.26,4.88,1.27,7.34,1.22,0.16,0.64,0.11,20,115,19.17,2,9,1.5,NA,NA
95,4,,,,,,,,,,,,,,,,40,12,25,0.09,0,1,P,,M,3,,1/3/1993,1/6/1993,1,1993,58.35,168.9,42.23,26.54,41.66,10.42,1.81,5.28,1.32,0.76,1.08,0.27,30,88,22,12,16,4,NA,NA
96,6,,,,,,,,,,,,,,,,32,2,21,0.71,9.5,3,P,S,M,3,11.65%,1/11/1993,1/16/1993,1,1993,29.18,162.5,27.08,6.07,15.46,2.58,1.09,6.15,1.03,0.15,0.47,0.08,20,113,18.83,2,7,1.17,0.35,1.06
97,7,1/20/1993 15:15,1/21/1993 13:55,1,0.38,0.12,0.09,0.08,0.08,0.07,0.135,22.667,0.017,0.003,0.003,0.003,43,3,28,0.32,NA,4,P,,M,2,22.31%,1/20/1993,1/26/1993,1,1993,26.26,153.2,21.89,5.79,25.67,3.67,1.19,6.98,1,0.32,1.29,0.18,24,143,20.43,7,26,2.17,0.89,1.27
98,4,,,,,,,,,,,,,,,,48,11,31,0,0,2,,,M,5,27.50%,1/30/1993,2/2/1993,1,1993,19.54,67.13,16.78,5.47,10.35,2.59,0.88,3.03,0.76,0.23,0.43,0.11,22,75,18.75,7,13,3.25,0.55,0.55
99,5,,,,,,,,,,,,,,,,45,18,31,0,0,1,,,M,5,,2/4/1993,2/8/1993,2,1993,17.36,74.06,14.81,2.79,7.29,1.46,0.76,3.24,0.65,0.11,0.31,0.06,21,91,18.2,4,10,2,NA,NA
100,6,,,,,,,,,,,,,,,,34,8,24,0.36,NA,U,P,S,M,3,,2/10/1993,2/15/1993,2,1993,14.09,70.95,11.83,2.56,9.97,1.66,0.6,3,0.5,0.11,0.34,0.06,19,98,16.33,4,12,2,NA,NA
101,4,3/2/1993 17:30,3/3/1993 3:55,1,0.27,0.11,0.06,0.06,0.05,0.05,0.069,10.417,0.026,0,0,0,42,27,36,0.26,0,2,P,,M,2,32.50%,3/2/1993,3/5/1993,3,1993,2955.98,5513.13,1378.28,1045.42,1677.61,419.4,404.06,629.26,157.32,308.5,437.24,109.31,150,330,82.5,40,84,21,0.65,0.92
102,6,,,,,,,,,,,,,,,,42,8,31,0.17,0.5,1,P,S,M,3,,3/7/1993,3/12/1993,3,1993,4537.41,10478.92,1746.49,2626.85,6497.04,1082.84,546.78,1172.47,195.41,451.22,971.03,161.84,246,696,116,136,400,66.67,NA,NA
103,7,,,,,,,,,,,,,,,,48,0,26,0.12,3.3,6,P,S,M,3,,3/15/1993,3/21/1993,3,1993,4178.18,4898.01,699.72,4145.45,4584.24,654.89,1007.91,1078.18,154.03,1005.53,1060.86,151.55,350,542,77.43,331,553,46.08,NA,NA
104,11,3/22/1993 7:15,3/31/1993 18:40,3,2.03,0.56,0.54,0.52,0.45,0.38,4.88,227.417,0.009,0,0,0,60,29,38,2.89,10.3,10.5,P,S,M,2,25.67%,3/22/1993,4/1/1993,3,1993,10399.77,39475.69,3588.7,10288.06,38027.76,3457.07,3465.35,8519.78,774.53,3448.03,8425.5,765.95,524,2347,213.36,495,1976,179.64,2.70,4.73
105,4,,,,,,,,,,,,,,,,52,27,39,0,0,Z,,,M,6,,4/3/1993,4/6/1993,4,1993,158.44,515.42,128.86,52.26,90.7,22.68,13.12,38.2,9.55,6.75,12.72,3.18,41,145,36.25,8,13,3.25,NA,NA
106,5,4/7/1993 16:25,4/11/1993 2:05,2,0.69,0.26,0.24,0.22,0.18,0.14,0.628,81.667,0.008,0.079,0.079,0.079,61,33,49,0.94,0,U,P,,,2,,4/7/1993,4/11/1993,4,1993,319,941.8,188.36,237.34,508.98,101.8,26,66.78,13.36,22.9,48.01,9.6,61,234,46.8,22,45,9,NA,NA
